temporada,no_recorte,clube,faixa,trave,fronteira,dist_g4,pos_final,cobertura_pct,cobertura_baixa,sc_match_id,data_sc,data_wy,data_desloc,rodada,turno,adversario,mando,resultado,pontos_jogo,golos_pro,golos_contra,descanso_dias,jogo_curto,jogo_curto_ate4,descanso_na_borda,comp_anterior,atletas_no_jogo,sc_player_id,jogador,posicao,setor,minutos,min60,distance_p90,running_distance_p90,m_per_min,hi_distance_p90,sprint_distance_p90,sprint_count_p90,high_accel_p90,psv99
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,4289,Henrique Almeida,CF,Center Forward,79.58,1,8791.54,1023.46,97.68,676.27,170.76,11.31,7.92,27.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,14006,Carlos Akapo,RWB,Full Back,101.3,1,9508.19,1295.36,105.65,929.32,286.08,15.1,9.77,30.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,25305,Alyson,LWB,Full Back,101.3,1,9982.63,1340.67,110.92,1055.48,410.46,16.88,6.22,32.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,26480,Diego Zabala,RF,Wide Attacker,21.72,0,10688.1,1326.17,118.76,455.87,99.46,8.29,12.43,25.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,31915,Bruno Ramires,RCB,Central Defender,101.3,1,8681.05,1012.83,96.46,365.15,94.18,3.55,8.88,31.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,35718,Larry Vásquez,RM,Midfield,101.3,1,9636.13,1385.98,107.07,485.98,42.65,2.67,3.55,25.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,49870,Rodrigo Varanda,LF,Wide Attacker,79.58,1,9680.42,1820.73,107.56,925.07,229.57,13.57,5.65,29.1
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,64683,Wellington,CB,Central Defender,101.3,1,8375.42,936.43,93.06,437.12,147.48,8.88,4.44,31.0
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,172977,Fabiano,LCB,Central Defender,64.93,1,8737.58,1076.95,97.08,625.1,237.01,8.32,6.93,30.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,172989,Alex Sandro,LWB,Full Back,36.37,0,9104.77,1509.62,101.16,596.43,131.16,9.9,7.42,28.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,177441,Fernando Neto,LM,Midfield,52.17,0,9563.0,1494.06,106.26,434.76,43.13,3.45,3.45,26.0
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,822526,Rafael Tavares,RF,Wide Attacker,79.58,1,9341.15,1474.68,103.79,634.43,101.78,4.52,6.79,26.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,834566,Cocote,LWB,Full Back,21.72,0,12246.35,1686.72,136.07,1346.89,476.59,16.58,12.43,28.0
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,904926,Robertinho,LM,Midfield,49.13,0,10334.74,1690.71,114.83,370.01,65.94,1.83,3.66,24.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2010036,2025-04-04,2025-04-05,1,1,1T,Goiás,fora,D,0,0,1,,,,,,15,904929,Vitão,CF,Center Forward,21.72,0,9515.27,1243.28,105.73,538.76,95.32,8.29,12.43,27.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,4289,Henrique Almeida,CF,Center Forward,105.83,1,8795.62,872.5,97.73,395.43,51.87,3.4,5.1,25.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,14006,Carlos Akapo,RB,Full Back,18.98,0,9221.25,1327.48,102.46,274.98,9.48,0.0,9.48,24.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,25305,Alyson,LB,Full Back,105.83,1,10125.64,1392.09,112.51,540.85,116.5,8.5,5.1,29.8
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,26480,Diego Zabala,LF,Wide Attacker,37.35,0,8224.1,903.61,91.38,368.67,65.06,4.82,7.23,25.5
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,31915,Bruno Ramires,RCB,Central Defender,105.83,1,8464.82,701.57,94.05,316.35,108.0,6.8,3.4,31.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,35718,Larry Vásquez,DM,Midfield,105.83,1,9282.05,962.65,103.13,274.68,31.46,2.55,1.7,25.8
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,49870,Rodrigo Varanda,RF,Wide Attacker,68.48,1,10475.4,1634.85,116.39,914.68,222.1,15.77,6.57,29.5
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,64683,Wellington,RCB,Central Defender,86.85,1,8893.26,902.59,98.81,464.25,145.08,6.22,5.18,30.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,153808,Eliton Júnior,DM,Midfield,28.22,0,9884.58,2060.48,109.83,456.11,15.95,0.0,3.19,23.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,172977,Fabiano,LCB,Central Defender,105.83,1,8276.88,762.8,91.97,397.13,93.54,4.25,4.25,28.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,172989,Alex Sandro,LF,Wide Attacker,68.48,1,9568.61,1185.4,106.32,508.59,76.22,6.57,10.51,28.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,177441,Fernando Neto,LM,Midfield,77.62,1,10134.42,1485.38,112.6,281.77,22.03,1.16,2.32,24.0
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,822526,Rafael Tavares,RM,Midfield,68.48,1,10767.15,1742.61,119.63,587.44,68.34,5.26,2.63,25.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,840008,Luan Silva,RM,Midfield,37.35,0,8334.94,893.98,92.61,457.83,173.49,9.64,4.82,29.8
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2011284,2025-04-12,2025-04-13,1,2,1T,Ferroviária,casa,E,1,0,0,8,0,0,0,Brazil. Serie B,15,974051,Diogo Carlos,RF,Wide Attacker,37.35,0,9428.92,1669.88,104.77,778.31,303.61,19.28,9.64,30.1
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,4289,Henrique Almeida,CF,Center Forward,98.18,1,9906.26,1494.14,110.07,584.82,55.0,4.58,5.5,26.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,25305,Alyson,LB,Full Back,98.18,1,10375.59,1387.81,115.28,852.49,269.5,11.0,7.33,31.1
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,26480,Diego Zabala,CF,Center Forward,49.15,0,10298.27,1419.13,114.43,1151.78,303.97,14.65,9.16,28.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,31915,Bruno Ramires,RB,Full Back,41.68,0,9739.86,1330.03,108.22,973.77,306.6,12.95,4.32,30.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,35718,Larry Vásquez,RM,Midfield,98.18,1,11108.0,2175.22,123.42,653.57,95.33,4.58,1.83,28.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,49709,Tiago Cametá,RB,Full Back,25.78,0,9316.48,1399.74,103.52,415.38,132.64,6.98,3.49,27.0
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,49870,Rodrigo Varanda,RW,Wide Attacker,72.4,1,10837.29,2221.41,120.41,1144.89,315.75,12.43,6.22,30.5
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,64683,Wellington,RCB,Central Defender,98.18,1,9248.11,1188.9,102.76,774.57,332.74,11.92,4.58,31.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,153808,Eliton Júnior,CF,Center Forward,12.98,0,11853.66,2197.43,131.71,790.24,13.86,0.0,6.93,23.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,172977,Fabiano,LCB,Central Defender,98.18,1,9148.19,1088.98,101.65,614.16,223.66,7.33,3.67,29.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,172989,Alex Sandro,LW,Wide Attacker,85.2,1,9873.59,1468.31,109.71,612.68,152.11,8.45,5.28,29.1
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,177441,Fernando Neto,LM,Midfield,72.4,1,10996.41,1986.46,122.18,508.43,32.32,2.49,2.49,24.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,208441,Pará,RB,Full Back,56.5,0,11029.38,2137.7,122.55,915.93,170.44,11.15,7.96,30.8
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,822526,Rafael Tavares,CF,Center Forward,49.03,0,11189.12,2287.02,124.32,919.58,212.92,7.34,3.67,27.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012077,2025-04-18,2025-04-18,0,3,1T,América-MG,fora,D,0,1,3,5,0,0,0,Brazil. Serie B,15,970508,Luquinhas,RW,Wide Attacker,25.78,0,10580.09,1780.22,117.56,1082.09,394.44,17.45,3.49,30.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,4289,Henrique Almeida,CF,Center Forward,98.02,1,9386.87,970.55,104.3,403.09,34.89,2.75,4.59,25.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,25305,Alyson,LB,Full Back,98.02,1,10435.47,1393.84,115.95,987.08,303.93,14.69,4.59,29.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,28278,Jackson,RCB,Central Defender,58.85,0,8912.83,894.65,99.03,285.98,53.53,4.59,1.53,28.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,29748,N. Linares,LM,Midfield,48.98,0,11286.9,2340.8,125.41,518.14,34.91,3.67,3.67,25.1
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,35718,Larry Vásquez,RM,Midfield,98.02,1,11146.17,1808.88,123.85,440.74,47.75,3.67,1.84,26.0
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,49709,Tiago Cametá,RB,Full Back,48.98,0,8413.27,760.67,93.48,237.02,23.89,1.84,5.51,27.1
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,64683,Wellington,RCB,Central Defender,39.17,0,9409.79,1323.57,104.55,530.81,135.57,9.19,6.89,28.1
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,153808,Eliton Júnior,AM,Midfield,70.08,1,11187.82,1860.78,124.31,561.19,84.76,3.85,2.57,26.8
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,172977,Fabiano,LCB,Central Defender,98.02,1,9003.06,946.68,100.03,454.51,132.22,7.35,3.67,30.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,172989,Alex Sandro,RW,Wide Attacker,48.98,0,9365.02,981.15,104.06,514.46,132.29,9.19,11.02,30.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,177441,Fernando Neto,LM,Midfield,49.03,0,11181.78,1582.19,124.24,244.12,22.03,1.84,0.0,25.8
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,753563,William Barbio,RB,Full Back,49.03,0,10447.59,1306.87,116.08,993.0,282.66,14.68,3.67,28.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,822526,Rafael Tavares,AM,Midfield,27.93,0,10896.66,1801.07,121.07,631.5,25.78,6.44,3.22,25.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,834566,Cocote,LW,Wide Attacker,49.03,0,11207.48,1514.28,124.53,591.03,67.91,7.34,3.67,25.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2012680,2025-04-21,2025-04-21,0,4,1T,Avaí,casa,D,0,0,2,3,1,1,1,Brazil. Serie B,15,970508,Luquinhas,LW,Wide Attacker,80.55,1,9970.95,1471.51,110.79,850.28,218.99,12.29,6.7,31.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,4289,Henrique Almeida,CF,Center Forward,69.82,1,8921.8,1144.71,99.13,429.27,48.99,3.87,9.02,26.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,25305,Alyson,LB,Full Back,102.38,1,9177.27,999.48,101.97,626.76,174.05,10.55,7.03,30.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,28278,Jackson,RCB,Central Defender,102.38,1,7885.95,722.58,87.62,253.17,23.73,1.76,5.27,26.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,29748,N. Linares,LDM,Midfield,102.38,1,10044.02,1893.47,111.6,429.86,14.06,0.88,4.4,23.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,35718,Larry Vásquez,RDM,Midfield,102.38,1,9245.84,1373.08,102.73,372.72,65.05,3.52,6.15,26.5
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,36122,Kevin Ramírez,RW,Wide Attacker,52.73,0,8152.91,998.42,90.59,836.28,187.74,11.95,8.53,28.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,49870,Rodrigo Varanda,RW,Wide Attacker,49.65,0,9398.79,1442.9,104.43,893.66,242.9,12.69,5.44,29.5
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,153808,Eliton Júnior,AM,Midfield,38.87,0,9373.58,1322.21,104.15,402.92,76.42,2.32,6.95,29.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,172977,Fabiano,LCB,Central Defender,102.38,1,8196.26,814.0,91.07,359.53,72.08,7.91,6.15,27.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,172989,Alex Sandro,LW,Wide Attacker,49.65,0,8971.0,977.04,99.68,855.59,262.84,14.5,9.06,31.0
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,633601,Thomás Luciano,RB,Full Back,63.52,1,9136.5,1191.66,101.52,552.61,89.27,7.08,11.34,28.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,753563,William Barbio,RB,Full Back,38.87,0,8479.76,1127.7,94.22,532.59,113.46,9.26,9.26,28.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,822526,Rafael Tavares,AM,Midfield,63.52,1,9388.72,1404.2,104.32,527.11,99.19,4.25,5.67,26.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,834566,Cocote,LW,Wide Attacker,52.73,0,9093.3,1291.97,101.04,552.97,105.82,6.83,6.83,30.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2013981,2025-04-27,2025-04-27,0,5,1T,Atlético-GO,casa,E,1,1,1,6,0,0,0,Brazil. Serie B,15,840008,Luan Silva,CF,Center Forward,32.57,0,8263.05,1011.46,91.81,301.23,105.02,5.53,11.05,30.5
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,4289,Henrique Almeida,CF,Center Forward,48.97,0,9223.01,1075.22,102.48,573.45,82.71,1.84,5.51,24.4
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,25305,Alyson,LB,Full Back,61.98,1,9928.8,1270.5,110.32,933.64,325.25,15.97,5.81,29.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,26480,Diego Zabala,LW,Wide Attacker,31.0,0,8930.32,1242.58,99.23,955.16,325.16,14.52,5.81,30.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,28278,Jackson,RCB,Central Defender,101.97,1,8313.6,966.49,92.37,368.94,52.96,3.53,5.3,26.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,29748,N. Linares,LDM,Midfield,101.97,1,10321.61,1882.67,114.68,743.18,181.82,6.18,3.53,32.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,35718,Larry Vásquez,RDM,Midfield,101.97,1,9860.87,1436.06,109.57,759.95,191.53,7.06,6.18,27.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,36122,Kevin Ramírez,RW,Wide Attacker,31.0,0,8939.03,1399.35,99.32,856.45,121.94,0.0,8.71,24.0
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,172977,Fabiano,LCB,Central Defender,101.97,1,8394.8,930.3,93.28,375.12,52.08,3.53,5.3,27.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,172989,Alex Sandro,LW,Wide Attacker,70.97,1,9886.9,1242.84,109.85,850.96,317.05,12.68,5.07,31.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,333578,Raimar,LB,Full Back,38.5,0,8637.66,1267.01,95.97,883.64,194.03,4.68,2.34,28.6
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,633601,Thomás Luciano,RB,Full Back,86.33,1,9765.87,1376.06,108.51,838.15,155.33,7.3,9.38,26.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,753563,William Barbio,RB,Full Back,15.63,0,8048.19,1088.06,89.42,535.39,11.51,5.76,5.76,23.8
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,822526,Rafael Tavares,AM,Midfield,63.47,1,10624.16,1837.82,118.05,601.26,86.5,4.25,5.67,26.3
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,840008,Luan Silva,CF,Center Forward,53.0,0,9054.34,961.13,100.6,492.45,83.21,3.4,8.49,28.7
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2014902,2025-05-03,2025-05-03,0,6,1T,Remo,fora,D,0,0,1,6,0,0,0,Brazil. Serie B,15,970508,Luquinhas,RW,Wide Attacker,70.97,1,10372.62,1634.71,115.25,984.12,273.93,10.15,8.88,27.9
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2016827,2025-05-13,2025-05-13,0,7,1T,CRB,casa,E,1,1,1,10,0,0,0,Brazil. Serie B,15,26480,Diego Zabala,LW,Wide Attacker,63.38,1,9762.03,1451.17,108.47,682.99,157.61,5.68,5.68,29.2
2025,1,Amazonas,Cai,0,0,-26,18,100.0,0,2016827,2025-05-13,2025-05-13,0,7,1T,CRB,casa,E,1,1,1,10,0,0,0,Brazil. Serie B,15,28278,Jackson,RCB,Central Defender,78.98,1,8100.57,607.34,90.01,169.78,42.16,1.14,4.56,27.6
